Race ID,Chamber,State,Congressional District,Year,R-D Victory Margin,Incumbent Running?,Geography,District PVI,Population\Square-Mile,Share African-American,Share Asian,Share College Educated,Share Hispanic,Share Non-Hispanic White,Unopposed D?,Unopposed R?,Vote Share of Last D Presidential Candidate,Vote Share of Last R House Candidate
H2006CA17,House,CA,17,2006,-54.11,Democrat,Extremely Urban,-17,132.59,0.027832976000000002,0.07,0.263,0.46955964,0.448897036,0,0,0.6652,0.2917
H2006CA18,House,CA,18,2006,-30.96,Democrat,Extremely Urban,-3,209.38,0.06230269,0.099,0.107,0.49038934700000003,0.347023736,0,0,0.4988,0.3251
H2006CA19,House,CA,19,2006,21.16,Republican,Quite Urban,10,95.5,0.041038804,0.057999999999999996,0.21600000000000003,0.33190965699999997,0.5532627179999999,0,0,0.3825,0.6603
H2006CA20,House,CA,20,2006,-100.0,Democrat,Extremely Urban,-5,128.27,0.062833235,0.068,0.07400000000000001,0.683953881,0.20308954699999998,1,0,0.5109,0.466
H2006CA21,House,CA,21,2006,36.8,Republican,Quite Urban,13,79.63,0.02989874,0.065,0.17600000000000002,0.479744613,0.430815701,0,0,0.3399,0.7317
H2006CA22,House,CA,22,2006,41.4,Open Seat,Quite Urban,16,61.35,0.068458416,0.047,0.204,0.268198431,0.59044636,0,0,0.3132,1.0
H2006CA23,House,CA,23,2006,-30.35,Democrat,Extremely Urban,-9,613.57,0.029790598999999997,0.071,0.278,0.452068895,0.470783395,0,0,0.5914,0.3435
H2006CA24,House,CA,24,2006,24.05,Republican,Extremely Urban,5,164.58,0.022073425,0.068,0.34299999999999997,0.25295588399999996,0.642332221,0,0,0.436,0.6282
H2006CA25,House,CA,25,2006,24.29,Republican,Extremely Urban,7,29.75,0.102523647,0.065,0.212,0.353251159,0.467512815,0,0,0.4042,0.6442
H2006CA26,House,CA,26,2006,19.06,Republican,Extremely Urban,4,849.96,0.059435543,0.204,0.36700000000000005,0.275267392,0.46261104399999997,0,0,0.442,0.5358
H2006CA27,House,CA,27,2006,-37.54,Democrat,Extremely Urban,-13,4239.39,0.053374726,0.129,0.29600000000000004,0.404390574,0.419994827,0,0,0.6018,0.3327
H2006CA28,House,CA,28,2006,-54.83,Democrat,Extremely Urban,-25,8279.4,0.036408395,0.064,0.275,0.577413619,0.346194158,0,0,0.7181,0.233
H2006CA29,House,CA,29,2006,-36.05,Democrat,Extremely Urban,-12,6302.64,0.064405799,0.27,0.385,0.245928526,0.416481035,0,0,0.6211,0.304
H2006CA30,House,CA,30,2006,-45.05,Democrat,Extremely Urban,-20,2238.33,0.034595787999999995,0.114,0.597,0.08531375199999999,0.7306736770000001,0,0,0.6688,0.2876
H2006CA31,House,CA,31,2006,-100.0,Democrat,Extremely Urban,-30,16232.87,0.04410946,0.15,0.2,0.70272994,0.135905727,1,0,0.7809999999999999,0.1979
H2006CA32,House,CA,32,2006,-100.0,Democrat,Extremely Urban,-17,6957.94,0.028603412,0.205,0.17,0.641405225,0.124742539,1,0,0.6299,0.0
H2006CA33,House,CA,33,2006,-100.0,Democrat,Extremely Urban,-36,13272.86,0.286181688,0.13699999999999998,0.331,0.37079891600000003,0.24262028100000002,1,0,0.8388,0.0
H2006CA34,House,CA,34,2006,-53.6,Democrat,Extremely Urban,-23,10962.06,0.042326367999999996,0.068,0.11699999999999999,0.798934102,0.10771696,0,0,0.6978,0.2551
H2006CA35,House,CA,35,2006,-100.0,Democrat,Extremely Urban,-33,11533.8,0.303258359,0.067,0.17,0.5478064420000001,0.108687577,1,0,0.7979999999999999,0.1508
H2006CA36,House,CA,36,2006,-31.45,Democrat,Extremely Urban,-11,8535.96,0.04724683599999999,0.179,0.43200000000000005,0.31310620899999997,0.47585453299999997,0,0,0.5982,0.3346
H2006CA37,House,CA,37,2006,-100.0,Democrat,Extremely Urban,-27,8569.16,0.24442046899999997,0.145,0.192,0.46893668200000005,0.17016214100000002,1,0,0.745,0.2019
H2006CA38,House,CA,38,2006,-50.66,Democrat,Extremely Urban,-20,6151.58,0.035108432,0.11,0.15,0.736471653,0.11404988199999999,0,0,0.6603,0.0
H2006CA39,House,CA,39,2006,-31.74,Democrat,Extremely Urban,-13,9860.95,0.057285648,0.11199999999999999,0.16899999999999998,0.651700735,0.18832988899999997,0,0,0.5924,0.39299999999999996
H2006CA40,House,CA,40,2006,36.08,Republican,Extremely Urban,8,6387.69,0.028507857,0.19699999999999998,0.312,0.33460518699999997,0.432372031,0,0,0.3898,0.6793
H2006CA41,House,CA,41,2006,33.85,Republican,Extremely Urban,9,48.0,0.06623204099999999,0.049,0.2,0.316248655,0.563663295,0,0,0.374,0.8295
H2006CA42,House,CA,42,2006,100.0,Republican,Extremely Urban,10,2036.74,0.030390072999999997,0.19,0.387,0.257262707,0.47796010200000005,0,1,0.3729,0.6814
H2006CA43,House,CA,43,2006,-28.98,Democrat,Extremely Urban,-13,3348.11,0.12860888199999998,0.054000000000000006,0.115,0.661936641,0.179781062,0,0,0.5883,0.3363
H2006CA44,House,CA,44,2006,22.96,Republican,Extremely Urban,6,1223.93,0.057861209000000004,0.081,0.258,0.419941127,0.44664342,0,0,0.4036,0.6164
H2006CA45,House,CA,45,2006,21.32,Republican,Extremely Urban,3,106.87,0.074393153,0.054000000000000006,0.21100000000000002,0.388249815,0.476331147,0,0,0.4346,0.6661
H2006CA46,House,CA,46,2006,22.87,Republican,Extremely Urban,6,2424.09,0.022764072000000003,0.20199999999999999,0.405,0.19286401600000003,0.5925264179999999,0,0,0.4224,0.6192
H2006CA47,House,CA,47,2006,-24.66,Democrat,Extremely Urban,-5,11683.49,0.017840711000000002,0.165,0.135,0.687749147,0.154521336,0,0,0.4928,0.3962
H2006CA48,House,CA,48,2006,22.68,Republican,Extremely Urban,8,3011.01,0.019855417,0.18600000000000003,0.526,0.162822098,0.611053442,0,0,0.4089,0.6498
H2006CA49,House,CA,49,2006,29.85,Republican,Extremely Urban,10,378.06,0.050298892000000005,0.063,0.231,0.354718387,0.53367278,0,0,0.3682,0.6255
H2006CA50,House,CA,50,2006,9.64,Republican,Extremely Urban,5,2128.45,0.022523272999999996,0.14300000000000002,0.45399999999999996,0.20931069600000002,0.623477284,0,0,0.4427,0.5842
H2006CA51,House,CA,51,2006,-37.28,Democrat,Extremely Urban,-7,139.47,0.07883295400000001,0.146,0.182,0.596296906,0.180470646,0,0,0.5385,0.3512
H2006CA52,House,CA,52,2006,32.66,Republican,Extremely Urban,9,302.42,0.053549834000000004,0.08800000000000001,0.32299999999999995,0.17460958699999998,0.678714125,0,0,0.3806,0.6919
H2006CA53,House,CA,53,2006,-37.56,Democrat,Extremely Urban,-12,6731.48,0.083385736,0.107,0.391,0.30963799399999997,0.528250593,0,0,0.6192,0.2886
H2006CO01,House,CO,01,2006,-100.0,Democrat,Extremely Urban,-18,3586.23,0.10833877300000001,0.04,0.397,0.333153605,0.595864495,1,0,0.6890000000000001,0.2435
H2006CO02,House,CO,02,2006,-36.61,Democrat,Extremely Urban,-8,109.43,0.014790773,0.045,0.41700000000000004,0.17949885100000001,0.762673279,0,0,0.5870000000000001,0.3044
H2006CO03,House,CO,03,2006,-24.28,Democrat,,6,11.39,0.010370933,0.009000000000000001,0.267,0.2243101,0.7503065790000001,0,0,0.4424,0.4656
H2006CO04,House,CO,04,2006,3.15,Republican,Quite Urban,9,19.89,0.00997149,0.02,0.32,0.188949287,0.788482777,0,0,0.4156,0.5105
H2006CO05,House,CO,05,2006,18.64,Open Seat,Extremely Urban,16,79.72,0.068220347,0.038,0.331,0.12569840300000001,0.7694158609999999,0,0,0.33,0.7054
H2006CO06,House,CO,06,2006,19.14,Republican,Extremely Urban,10,149.73,0.031612344,0.048,0.488,0.07610399999999999,0.842510344,0,0,0.3933,0.5948
H2006CO07,House,CO,07,2006,-12.63,Open Seat,Extremely Urban,-2,488.36,0.07300105700000001,0.034,0.275,0.269125938,0.6426638889999999,0,0,0.5162,0.5472
H2006CT01,House,CT,01,2006,-48.92,Democrat,Extremely Urban,-14,1043.07,0.148399308,0.044000000000000004,0.321,0.126289785,0.6859326729999999,0,0,0.6067,0.2702
H2006CT02,House,CT,02,2006,-0.04,Republican,,-8,335.84,0.03978622,0.032,0.326,0.050400618,0.861588294,0,0,0.5494,0.5419
H2006CT03,House,CT,03,2006,-54.26,Democrat,Extremely Urban,-12,1483.42,0.136198565,0.042,0.321,0.09994377199999999,0.72545943,0,0,0.5749,0.2497
H2006CT04,House,CT,04,2006,3.17,Republican,Extremely Urban,-5,1490.6,0.117864698,0.046,0.45899999999999996,0.15036954,0.66481551,0,0,0.5309,0.5243
H2006CT05,House,CT,05,2006,-12.34,Republican,Extremely Urban,-4,545.94,0.068130195,0.031,0.336,0.12626469099999998,0.76631753,0,0,0.5018,0.5979
H2006DE00,House,DE,00,2006,18.41,Republican,Quite Urban,-7,401.11,0.21156153100000002,0.020749107,0.27699999999999997,0.062212847,0.690056908,0,0,0.5383,0.6909
H2006FL01,House,FL,01,2006,37.08,Republican,Quite Urban,19,137.73,0.150681168,0.032,0.22699999999999998,0.035996917999999996,0.769896082,0,0,0.2772,0.7654
H2006FL02,House,FL,02,2006,-100.0,Democrat,,2,67.83,0.214190573,0.023,0.253,0.03565589,0.7042788729999999,1,0,0.4579,0.3835
H2006FL03,House,FL,03,2006,-100.0,Democrat,Extremely Urban,-16,355.9,0.527120173,0.02,0.149,0.099357635,0.37172895200000006,1,0,0.6494,0.0
H2006FL04,House,FL,04,2006,39.35,Republican,Quite Urban,16,155.25,0.154872075,0.044000000000000004,0.272,0.054483958,0.741257553,0,0,0.3063,0.9955
H2006FL05,House,FL,05,2006,19.7,Republican,,5,158.08,0.05426209,0.021,0.193,0.08737183400000001,0.8245103029999999,0,0,0.4145,0.6593
H2006FL06,House,FL,06,2006,19.76,Republican,Quite Urban,8,219.57,0.141635537,0.033,0.243,0.06583343400000001,0.7402436259999999,0,0,0.3903,0.644
H2006FL07,House,FL,07,2006,26.16,Republican,Extremely Urban,3,355.74,0.09928476800000001,0.028999999999999998,0.28300000000000003,0.090913706,0.775315687,0,0,0.4317,1.0
H2006FL08,House,FL,08,2006,7.06,Republican,Extremely Urban,3,647.91,0.100143805,0.043,0.297,0.218050897,0.60413676,0,0,0.4534,0.6052
H2006FL09,House,FL,09,2006,11.83,Open Seat,Extremely Urban,4,1008.48,0.05625746,0.033,0.294,0.10235230599999999,0.7879929609999999,0,0,0.4303,0.9991
H2006FL10,House,FL,10,2006,31.86,Republican,Extremely Urban,-1,3662.53,0.057992212,0.039,0.26899999999999996,0.062978618,0.842797507,0,0,0.4881,0.6933
H2006FL11,House,FL,11,2006,-39.31,Open Seat,Extremely Urban,-11,2621.35,0.29348945600000004,0.027999999999999997,0.244,0.246219277,0.451045794,0,0,0.5843,0.0
H2006FL12,House,FL,12,2006,100.0,Republican,Quite Urban,5,326.84,0.15455722800000002,0.019,0.2,0.18106789899999998,0.643916984,0,1,0.4174,0.6489
H2006FL13,House,FL,13,2006,0.16,Open Seat,Extremely Urban,4,245.95,0.05103799,0.016,0.268,0.100544244,0.8360585970000001,0,0,0.4382,0.5529999999999999
H2006FL14,House,FL,14,2006,28.74,Republican,Extremely Urban,10,605.07,0.061880164,0.016,0.275,0.145670339,0.7842833379999999,0,0,0.3797,0.6759
H2006FL15,House,FL,15,2006,12.56,Republican,Extremely Urban,4,251.2,0.097960621,0.031,0.248,0.157361209,0.701348085,0,0,0.4296,0.6535
H2006FL16,House,FL,16,2006,-1.89,Open Seat,Extremely Urban,2,140.86,0.080149934,0.02,0.225,0.13719932699999998,0.7545152140000001,0,0,0.4575,0.6804
H2006FL17,House,FL,17,2006,-100.0,Democrat,Extremely Urban,-35,6622.77,0.5994560720000001,0.021,0.17,0.241700888,0.13686785,1,0,0.8336,0.0
H2006FL18,House,FL,18,2006,24.3,Republican,Extremely Urban,4,1800.98,0.071877331,0.016,0.31,0.6513875720000001,0.252651008,0,0,0.456,0.6473
H2006FL19,House,FL,19,2006,-100.0,Democrat,Extremely Urban,-21,2767.15,0.098306105,0.036000000000000004,0.309,0.17506115100000003,0.662639477,1,0,0.6625,1.0
H2006FL20,House,FL,20,2006,-100.0,Democrat,Extremely Urban,-18,3984.39,0.113465466,0.033,0.365,0.26469200800000003,0.540921202,1,0,0.6382,0.2981
H2006FL21,House,FL,21,2006,18.94,Republican,Extremely Urban,6,4737.98,0.086613096,0.026000000000000002,0.271,0.7341923709999999,0.128833474,0,0,0.4305,0.728
H2006FL22,House,FL,22,2006,-3.75,Republican,Extremely Urban,-4,2387.3,0.05821602,0.026000000000000002,0.379,0.152266026,0.753220375,0,0,0.5247,0.6279
H2006FL23,House,FL,23,2006,-100.0,Democrat,Extremely Urban,-29,190.14,0.570865452,0.022000000000000002,0.166,0.163736731,0.264794988,1,0,0.7567,0.0
H2006FL24,House,FL,24,2006,15.88,Republican,Extremely Urban,3,403.79,0.080394849,0.036000000000000004,0.28800000000000003,0.141569138,0.72872438,0,0,0.4476,1.0
H2006FL25,House,FL,25,2006,16.94,Republican,Extremely Urban,4,149.79,0.10830430699999999,0.019,0.245,0.668367982,0.167994831,0,0,0.4371,1.0
H2006GA01,House,GA,01,2006,37.0,Republican,,14,55.21,0.22829297199999998,0.013999999999999999,0.193,0.042749893,0.68014802,0,0,0.3363,1.0
H2006GA02,House,GA,02,2006,-35.74,Democrat,,-2,58.09,0.44745785,0.013000000000000001,0.145,0.037590563,0.47878583,0,0,0.4979,0.3321
H2006GA03,House,GA,03,2006,35.3,Republican,,19,153.14,0.404874086,0.019,0.249,0.03223804,0.694363891,0,0,0.2941,0.3712
H2006GA04,House,GA,04,2006,-50.69,Open Seat,Extremely Urban,-22,1910.75,0.550599933,0.044000000000000004,0.294,0.105728053,0.244536623,0,0,0.7144,0.3624
H2006GA05,House,GA,05,2006,-100.0,Democrat,Extremely Urban,-25,2564.77,0.5430172679999999,0.033,0.44799999999999995,0.07655376900000001,0.399031846,1,0,0.7423,0.0
H2006GA06,House,GA,06,2006,44.78,Republican,Extremely Urban,19,924.68,0.109877855,0.07,0.529,0.06904251900000001,0.727375167,0,0,0.2955,0.9997
H2006GA07,House,GA,07,2006,41.82,Republican,Extremely Urban,19,647.7,0.137115866,0.085,0.336,0.08459872800000001,0.57451524,0,0,0.2999,1.0
H2006GA08,House,GA,08,2006,-1.1,Democrat,,8,87.81,0.18152993899999997,0.012,0.18,0.033720806,0.607042437,0,0,0.3885,0.7559999999999999
H2006GA09,House,GA,09,2006,53.26,Republican,Quite Rural,24,145.31,0.14006345,0.017,0.21,0.032233179,0.833600102,0,0,0.2299,0.7429
H2006GA10,House,GA,10,2006,34.72,Republican,Quite Rural,14,106.88,0.049127765,0.021,0.253,0.12757855699999998,0.732846618,0,0,0.3485,1.0
H2006GA11,House,GA,11,2006,42.12,Republican,Quite Urban,18,233.85,0.31888300199999997,0.019,0.251,0.103359625,0.749302895,0,0,0.2878,0.574
H2006GA12,House,GA,12,2006,-0.6,Democrat,,-2,72.74,0.43482810299999997,0.013999999999999999,0.162,0.034223553,0.52753236,0,0,0.4943,0.4819
H2006GA13,House,GA,13,2006,-38.48,Democrat,Extremely Urban,-10,1101.85,0.512016654,0.035,0.261,0.14675733400000002,0.301192677,0,0,0.6005,0.0
H2006HI01,House,HI,01,2006,-38.68,Democrat,Extremely Urban,-7,3178.7,0.036491096,0.652,0.325,0.051397270999999994,0.18281749600000002,0,0,0.5273,0.3398
H2006HI02,House,HI,02,2006,-22.06,Open Seat,Quite Urban,-10,97.05,0.024840936,0.45,0.263,0.104621954,0.32624517,0,0,0.5598,0.3723
H2006IA01,House,IA,01,2006,-11.73,Open Seat,,-5,81.1,0.045158997,0.011000000000000001,0.235,0.023900511,0.9142991159999999,0,0,0.5327,0.5516
H2006IA02,House,IA,02,2006,-2.74,Open Seat,,-7,77.35,0.029445184,0.023,0.27899999999999997,0.034854977999999995,0.9021242429999999,0,0,0.5578,0.5892
H2006IA03,House,IA,03,2006,-5.2,Democrat,Quite Urban,-1,83.86,0.040438294,0.027000000000000003,0.27899999999999997,0.043778814000000006,0.8814192129999999,0,0,0.5001,0.4472
H2006IA04,House,IA,04,2006,14.5,Republican,Quite Rural,0,37.14,0.011181718,0.017,0.242,0.034233369,0.931309576,0,0,0.4881,0.6093
H2006IA05,House,IA,05,2006,22.93,Republican,Quite Rural,8,31.89,0.010861059,0.012,0.18600000000000003,0.050400212,0.9188323970000001,0,0,0.3965,0.633
H2006ID01,House,ID,01,2006,5.14,Open Seat,,19,16.41,0.006984123,0.02,0.235,0.08099629,0.878861427,0,0,0.3062,0.6955
H2006ID02,House,ID,02,2006,27.63,Republican,,23,14.93,0.00770503,0.021,0.252,0.105987817,0.852032728,0,0,0.3074,0.7074
H2006IL01,House,IL,01,2006,-68.76,Democrat,Extremely Urban,-35,6680.77,0.639074922,0.025,0.22,0.082775615,0.28362705899999996,0,0,0.8312,0.1514
H2006IL02,House,IL,02,2006,-73.28,Democrat,Extremely Urban,-35,3540.12,0.692006528,0.009000000000000001,0.20800000000000002,0.116298899,0.192242971,0,0,0.8403,0.3321
H2006IL03,House,IL,03,2006,-54.36,Democrat,Extremely Urban,-10,5250.18,0.069708586,0.033,0.237,0.29018414,0.593167809,0,0,0.5906,0.2515
H2006IL04,House,IL,04,2006,-72.08,Democrat,Extremely Urban,-31,16700.23,0.057320308,0.022000000000000002,0.218,0.74631393,0.238922073,0,0,0.792,0.1241
H2006IL05,House,IL,05,2006,-55.94,Democrat,Extremely Urban,-18,11469.5,0.033295918,0.078,0.39899999999999997,0.280537307,0.643956834,0,0,0.6703,0.2382
H2006IL06,House,IL,06,2006,2.74,Open Seat,Extremely Urban,3,3062.58,0.035010092,0.10300000000000001,0.37799999999999995,0.171280652,0.701382388,0,0,0.466,0.5583
H2006IL07,House,IL,07,2006,-73.64,Democrat,Extremely Urban,-35,11599.77,0.565419793,0.057,0.401,0.080042288,0.362821381,0,0,0.8344,0.1387
H2006IL08,House,IL,08,2006,-7.49,Democrat,Extremely Urban,5,1057.89,0.045570344000000006,0.085,0.364,0.14831989999999998,0.7289867729999999,0,0,0.4427,0.483
H2006IL09,House,IL,09,2006,-49.1,Democrat,Extremely Urban,-20,8677.11,0.106724985,0.145,0.444,0.114516236,0.631601591,0,0,0.6836,0.2426
H2006IL10,House,IL,10,2006,6.94,Republican,Extremely Urban,-4,2619.2,0.048100218,0.084,0.512,0.141206235,0.725045355,0,0,0.5276,0.6414
H2006IL11,House,IL,11,2006,10.28,Republican,Quite Urban,1,154.13,0.083403558,0.012,0.218,0.099308386,0.808907728,0,0,0.4635,0.5867
H2006IL12,House,IL,12,2006,-100.0,Democrat,Quite Urban,-5,147.72,0.17261582600000003,0.015,0.207,0.021475054,0.790796387,1,0,0.5212,0.2886
H2006IL13,House,IL,13,2006,16.72,Republican,Extremely Urban,5,1843.6,0.067939177,0.099,0.46,0.083463959,0.741805198,0,0,0.4476,0.6502
H2006IL14,House,IL,14,2006,19.5,Republican,Extremely Urban,5,229.22,0.053368285,0.033,0.305,0.22282800100000003,0.700859327,0,0,0.4416,0.6863
H2006IL15,House,IL,15,2006,15.02,Republican,,6,64.89,0.060926296,0.038,0.26899999999999996,0.027966697000000002,0.856713779,0,0,0.4105,0.6105
H2006IL16,House,IL,16,2006,33.02,Republican,Quite Urban,4,159.49,0.059753738,0.022000000000000002,0.243,0.088736475,0.834111397,0,0,0.4427,0.6908
H2006IL17,House,IL,17,2006,-14.42,Open Seat,Quite Urban,-5,80.5,0.080162562,0.01,0.177,0.044487603,0.8628643140000001,0,0,0.5162,0.3932
H2006IL18,House,IL,18,2006,34.82,Republican,,5,79.85,0.07117863,0.016,0.245,0.019976736999999998,0.885492442,0,0,0.4192,0.7024
H2006IL19,House,IL,19,2006,21.3,Republican,Quite Rural,8,56.75,0.032335277999999995,0.008,0.207,0.012084919,0.930365323,0,0,0.39,0.6936
H2006IN01,House,IN,01,2006,-42.74,Democrat,Extremely Urban,-8,305.77,0.19493927100000003,0.013000000000000001,0.19699999999999998,0.114725403,0.6868219259999999,0,0,0.5567,0.3171
H2006IN02,House,IN,02,2006,-7.86,Republican,Quite Urban,4,183.68,0.089867912,0.012,0.192,0.069651447,0.834796423,0,0,0.4356,0.5417
H2006IN03,House,IN,03,2006,8.74,Republican,,16,208.49,0.065030098,0.016,0.218,0.05673277400000001,0.865937776,0,0,0.3154,0.6921
H2006IN04,House,IN,04,2006,24.9,Republican,,17,168.21,0.028496031,0.024,0.266,0.036580997999999997,0.8981740290000001,0,0,0.3029,0.6947
H2006IN05,House,IN,05,2006,33.28,Republican,Quite Urban,20,206.84,0.0413201,0.024,0.35100000000000003,0.02506347,0.8988519890000001,0,0,0.2828,0.7184
H2006IN06,House,IN,06,2006,20.4,Republican,,11,121.73,0.04221243400000001,0.008,0.16899999999999998,0.016896091000000002,0.924753105,0,0,0.3556,0.6709
H2006IN07,House,IN,07,2006,-7.42,Democrat,Extremely Urban,-9,2583.74,0.333695769,0.019,0.228,0.07107611,0.574914803,0,0,0.5835,0.4368
H2006IN08,House,IN,08,2006,-22.04,Republican,,9,95.94,0.04031162,0.009000000000000001,0.17800000000000002,0.010602298000000001,0.92486326,0,0,0.3804,0.5337
H2006IN09,House,IN,09,2006,-4.39,Republican,Quite Rural,7,102.32,0.028424712,0.016,0.19699999999999998,0.019673714,0.922659955,0,0,0.4063,0.4943
